ens_gene,Symbol,Uniq_syms,entrez,Gene_name,1_00_2day,2_00_2day,3_00_2day,1_05_2day,2_05_2day,3_05_2day,1_20_2day,2_20_2day,3_20_2day,1_40_2day,2_40_2day,3_40_2day
ENSG00000198744.5,MTCO3P12,MTCO3P12,107075270,MT-CO3 pseudogene 12,111,91,117,153,148,87,122,120,115,129,101,126
ENSG00000228327.3,NA,ENSG00000228327.3,NA,NA,12,9,27,26,17,16,17,11,19,9,22,9
ENSG00000237491.10,NA,ENSG00000237491.10,NA,NA,6,9,23,10,22,29,11,14,10,14,9,20
ENSG00000230092.7,NA,ENSG00000230092.7,NA,NA,7,9,16,4,9,5,3,6,11,9,4,16
ENSG00000177757.2,FAM87B,FAM87B,400728,family with sequence similarity 87 member B,3,10,6,5,3,4,3,4,6,6,8,3
ENSG00000228794.10,LINC01128,LINC01128,643837,long intergenic non-protein coding RNA 1128,532,468,694,523,733,732,541,593,598,505,754,515
ENSG00000225880.5,NA,ENSG00000225880.5,NA,NA,25,21,41,26,39,33,27,21,16,10,21,21
ENSG00000272438.1,NA,ENSG00000272438.1,NA,NA,1,2,1,3,3,0,1,0,0,0,0,0
ENSG00000230699.2,NA,ENSG00000230699.2,NA,NA,0,1,5,1,1,3,1,1,3,1,0,0
ENSG00000223764.2,LINC02593,LINC02593,100130417,long intergenic non-protein coding RNA 2593,27,19,29,23,27,16,12,15,8,6,6,10
ENSG00000187634.12,SAMD11,SAMD11,148398,sterile alpha motif domain containing 11,72,95,133,80,111,52,43,39,27,34,25,13
ENSG00000188976.11,NOC2L,NOC2L,26155,NOC2 like nucleolar associated transcriptional repressor,4695,4866,6375,5410,7149,4447,5316,5204,4051,4796,6141,2703
ENSG00000187961.14,KLHL17,KLHL17,339451,kelch like family member 17,220,199,321,330,370,195,243,234,188,317,255,66
ENSG00000187583.11,PLEKHN1,PLEKHN1,84069,pleckstrin homology domain containing N1,144,135,187,132,196,133,129,152,100,150,176,39
ENSG00000187642.9,PERM1,PERM1,84808,"PPARGC1 and ESRR induced regulator, muscle 1",1,1,3,5,4,1,2,3,0,2,1,3
ENSG00000272512.1,NA,ENSG00000272512.1,NA,NA,8,5,18,11,12,7,4,8,6,2,4,3
ENSG00000188290.10,HES4,HES4,57801,hes family bHLH transcription factor 4,244,267,350,293,395,127,198,215,110,188,165,29
ENSG00000187608.10,ISG15,ISG15,9636,ISG15 ubiquitin like modifier,395,427,487,458,580,286,293,303,180,329,321,151
ENSG00000188157.15,AGRN,AGRN,375790,agrin,7788,7343,9430,9138,11626,6220,8027,7778,4700,7378,9373,1682
ENSG00000217801.10,NA,ENSG00000217801.10,NA,NA,187,181,308,225,268,161,176,177,172,194,173,136
ENSG00000273443.1,NA,ENSG00000273443.1,NA,NA,8,8,8,9,4,7,11,4,3,8,10,0
ENSG00000131591.17,C1orf159,C1orf159,54991,chromosome 1 open reading frame 159,361,368,503,354,503,290,328,337,250,240,349,64
ENSG00000078808.17,SDF4,SDF4,51150,stromal cell derived factor 4,4771,4650,6441,4904,6433,4713,4564,4754,3745,4090,5151,2590
ENSG00000176022.7,B3GALT6,B3GALT6,126792,"beta-1,3-galactosyltransferase 6",1237,1276,1662,1247,1786,1284,1260,1309,1180,1121,1452,949
ENSG00000184163.3,C1QTNF12,C1QTNF12,388581,C1q and TNF related 12,0,4,1,6,2,1,2,1,5,4,1,0
ENSG00000260179.1,NA,ENSG00000260179.1,NA,NA,1,2,4,4,1,2,0,0,1,1,1,0
ENSG00000160087.20,UBE2J2,UBE2J2,118424,ubiquitin conjugating enzyme E2 J2,2328,2330,2951,2356,3260,2045,2221,2401,1981,1980,2602,1140
ENSG00000230415.1,NA,ENSG00000230415.1,NA,NA,12,5,15,10,9,9,8,9,8,6,3,2
ENSG00000162572.21,SCNN1D,SCNN1D,6339,sodium channel epithelial 1 subunit delta,32,30,77,67,69,46,38,30,28,33,27,3
ENSG00000131584.19,ACAP3,ACAP3,116983,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",619,554,901,676,866,481,528,562,403,483,457,101
ENSG00000169972.12,PUSL1,PUSL1,126789,pseudouridine synthase like 1,446,436,585,474,612,332,473,482,326,456,516,102
ENSG00000127054.20,INTS11,INTS11,54973,integrator complex subunit 11,1895,1987,2693,2105,2753,1887,2040,2132,1586,1923,2346,918
ENSG00000240731.1,NA,ENSG00000240731.1,NA,NA,23,9,42,26,28,32,19,12,22,24,14,5
ENSG00000224051.7,CPTP,CPTP,80772,ceramide-1-phosphate transfer protein,830,873,1018,885,1235,651,824,827,554,786,1018,232
ENSG00000169962.5,TAS1R3,TAS1R3,83756,taste 1 receptor member 3,0,2,4,4,4,2,2,3,2,3,0,0
ENSG00000107404.20,DVL1,DVL1,1855,dishevelled segment polarity protein 1,2279,2586,3253,2929,3763,1835,2360,2340,1739,2355,2616,787
ENSG00000162576.16,MXRA8,MXRA8,54587,matrix remodeling associated 8,2,5,8,2,5,4,1,0,1,2,0,0
ENSG00000175756.13,AURKAIP1,AURKAIP1,54998,aurora kinase A interacting protein 1,1727,1858,2579,2232,2891,1321,1741,1924,1476,1960,1925,755
ENSG00000221978.12,CCNL2,CCNL2,81669,cyclin L2,1246,1180,2513,1831,1871,1701,1607,1311,1791,1838,1766,1108
ENSG00000224870.7,MRPL20-AS1,MRPL20-AS1,148413,MRPL20 antisense RNA 1,346,320,410,346,417,376,305,321,267,288,382,157
ENSG00000242485.6,MRPL20,MRPL20,55052,mitochondrial ribosomal protein L20,2531,2685,3420,2847,3654,2540,2846,2826,3002,2688,3074,2785
ENSG00000272455.1,NA,ENSG00000272455.1,NA,NA,71,51,94,75,107,78,56,77,76,61,78,45
ENSG00000235098.8,ANKRD65,ANKRD65,441869,ankyrin repeat domain 65,0,0,2,1,3,0,1,0,0,1,2,1
ENSG00000179403.12,VWA1,VWA1,64856,von Willebrand factor A domain containing 1,104,101,154,127,137,66,36,58,40,23,22,11
ENSG00000215915.10,ATAD3C,ATAD3C,219293,ATPase family AAA domain containing 3C,5,5,10,16,17,5,7,11,6,7,8,2
ENSG00000160072.20,ATAD3B,ATAD3B,83858,ATPase family AAA domain containing 3B,569,580,873,709,872,544,619,639,490,545,654,166
ENSG00000284740.1,NA,ENSG00000284740.1,NA,NA,0,0,5,3,2,3,2,1,0,5,1,2
ENSG00000197785.14,ATAD3A,ATAD3A,55210,ATPase family AAA domain containing 3A,1227,1323,1826,1375,1852,1284,1444,1452,1085,1300,1777,692
ENSG00000205090.9,TMEM240,TMEM240,339453,transmembrane protein 240,9,9,7,4,8,2,9,12,7,13,12,1
ENSG00000160075.12,SSU72,SSU72,29101,"SSU72 homolog, RNA polymerase II CTD phosphatase",3343,3285,4389,3356,4570,3928,3338,3450,3305,2787,3813,3128
ENSG00000215014.5,NA,ENSG00000215014.5,NA,NA,24,14,20,23,30,13,19,23,23,21,15,8
ENSG00000228594.4,FNDC10,FNDC10,643988,fibronectin type III domain containing 10,311,298,500,322,446,269,163,181,121,105,117,52
ENSG00000286989.1,NA,ENSG00000286989.1,NA,NA,14,18,27,11,29,10,4,4,4,7,2,3
ENSG00000272106.1,NA,ENSG00000272106.1,NA,NA,101,101,102,103,99,85,72,64,56,43,54,55
ENSG00000197530.12,MIB2,MIB2,142678,MIB E3 ubiquitin protein ligase 2,391,405,611,526,693,334,467,456,344,563,559,201
ENSG00000248333.8,CDK11B,CDK11B,984,cyclin dependent kinase 11B,1404,1335,1964,1421,1736,1769,1416,1457,1348,1242,1620,1309
ENSG00000272004.1,NA,ENSG00000272004.1,NA,NA,1,0,2,1,3,2,3,1,0,4,2,0
ENSG00000189339.12,SLC35E2B,SLC35E2B,728661,solute carrier family 35 member E2B,1519,1467,2010,1577,2157,2042,1723,1665,1538,1425,1896,764
ENSG00000215914.4,MMP23A,MMP23A,8511,matrix metallopeptidase 23A (pseudogene),0,3,1,0,3,2,1,0,0,1,0,0
ENSG00000008128.23,CDK11A,CDK11A,728642,cyclin dependent kinase 11A,49,42,61,44,71,41,48,61,29,59,54,7
ENSG00000268575.1,NA,ENSG00000268575.1,NA,NA,26,31,62,32,37,41,41,42,43,44,46,17
ENSG00000227775.3,NA,ENSG00000227775.3,NA,NA,1,0,1,0,2,0,0,0,1,1,2,2
ENSG00000215790.7,NA,ENSG00000215790.7,NA,NA,169,179,225,173,261,250,196,204,197,179,251,63
ENSG00000008130.15,NADK,NADK,65220,NAD kinase,1815,2034,2543,1960,2796,1816,1933,1934,1627,1639,1988,750
ENSG00000078369.18,GNB1,GNB1,2782,G protein subunit beta 1,24734,24523,30661,24624,32756,27763,24868,25728,23859,22364,30527,17986
ENSG00000231050.1,GNB1-DT,GNB1-DT,105378949,GNB1 divergent transcript,2,7,2,9,4,6,9,7,4,11,8,3
ENSG00000178821.13,TMEM52,TMEM52,339456,transmembrane protein 52,41,22,52,35,48,33,26,17,12,20,16,14
ENSG00000142609.18,CFAP74,CFAP74,85452,cilia and flagella associated protein 74,1,0,2,2,2,2,2,0,1,6,4,2
ENSG00000067606.17,PRKCZ,PRKCZ,5590,protein kinase C zeta,822,870,1128,951,1167,984,942,933,852,906,1161,846
ENSG00000182873.5,PRKCZ-AS1,PRKCZ-AS1,100506504,PRKCZ antisense RNA 1,21,19,27,26,39,39,34,30,21,29,35,10
ENSG00000162585.17,FAAP20,FAAP20,199990,FA core complex associated protein 20,703,673,1031,764,990,530,653,714,484,658,708,277
ENSG00000157933.10,SKI,SKI,6497,SKI proto-oncogene,2968,2965,4125,3088,4177,3629,2969,3037,2536,2650,3604,2160
ENSG00000287356.1,NA,ENSG00000287356.1,NA,NA,20,31,35,25,39,14,26,17,21,19,19,8
ENSG00000116151.14,MORN1,MORN1,79906,MORN repeat containing 1,121,134,186,149,171,102,105,87,96,85,123,79
ENSG00000269896.2,LOC100129534,LOC100129534,100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,29,29,29,27,27,22,17,24,20,17,27,12
ENSG00000272420.1,NA,ENSG00000272420.1,NA,NA,0,2,4,3,3,4,1,1,4,1,3,3
ENSG00000157916.20,RER1,RER1,11079,retention in endoplasmic reticulum sorting receptor 1,4253,4265,5654,4493,5847,5311,4595,4714,4645,4109,5413,2771
ENSG00000157911.10,PEX10,PEX10,5192,peroxisomal biogenesis factor 10,930,973,1180,969,1332,878,915,960,825,927,1103,690
ENSG00000149527.18,PLCH2,PLCH2,9651,phospholipase C eta 2,5,8,8,12,5,6,10,3,6,11,9,1
ENSG00000157881.15,PANK4,PANK4,55229,pantothenate kinase 4 (inactive),820,794,1076,869,1048,733,780,786,647,652,845,358
ENSG00000272449.2,NA,ENSG00000272449.2,NA,NA,2,4,8,6,8,4,6,5,0,3,1,0
ENSG00000238164.6,NA,ENSG00000238164.6,NA,NA,1,3,1,1,3,3,1,3,1,8,4,3
ENSG00000157873.17,TNFRSF14,TNFRSF14,8764,TNF receptor superfamily member 14,71,98,108,100,124,61,79,85,58,129,137,46
ENSG00000157870.16,PRXL2B,PRXL2B,127281,peroxiredoxin like 2B,1008,1067,1456,1103,1341,828,836,816,606,690,864,466
ENSG00000142606.16,MMEL1,MMEL1,79258,membrane metalloendopeptidase like 1,1,1,3,2,5,2,0,1,0,0,0,0
ENSG00000215912.12,TTC34,TTC34,100287898,tetratricopeptide repeat domain 34,3,1,2,1,1,2,0,1,0,1,2,4
ENSG00000287828.1,NA,ENSG00000287828.1,NA,NA,3,1,2,0,2,0,0,1,0,1,0,0
ENSG00000130762.15,ARHGEF16,ARHGEF16,27237,Rho guanine nucleotide exchange factor 16,49,51,87,58,55,35,29,29,23,23,35,14
ENSG00000162591.16,MEGF6,MEGF6,1953,multiple EGF like domains 6,925,823,1359,1047,1204,810,702,620,521,726,702,392
ENSG00000238260.1,NA,ENSG00000238260.1,NA,NA,0,2,6,2,1,1,0,0,2,1,2,0
ENSG00000158109.15,TPRG1L,TPRG1L,127262,tumor protein p63 regulated 1 like,1528,1616,1995,1595,2278,1671,1841,1816,1688,1665,2248,1213
ENSG00000116213.16,WRAP73,WRAP73,49856,"WD repeat containing, antisense to TP73",471,456,648,524,763,477,499,464,444,452,512,231
ENSG00000078900.15,TP73,TP73,7161,tumor protein p73,188,164,229,163,248,207,132,158,119,111,142,52
ENSG00000227372.12,GFOD3P,GFOD3P,57212,"Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene",573,535,768,617,784,695,625,624,537,629,854,358
ENSG00000235169.8,SMIM1,SMIM1,388588,small integral membrane protein 1 (Vel blood group),0,1,3,1,2,2,2,1,0,1,2,0
ENSG00000130764.10,LRRC47,LRRC47,57470,leucine rich repeat containing 47,1717,1721,2328,1720,2374,1805,1931,1981,1698,1807,2267,967
ENSG00000272153.1,NA,ENSG00000272153.1,NA,NA,6,2,2,3,2,0,3,0,0,4,1,0
ENSG00000116198.13,CEP104,CEP104,9731,centrosomal protein 104,1420,1368,1991,1379,1943,1917,1505,1478,1414,1338,1805,1521
ENSG00000169598.15,DFFB,DFFB,1677,DNA fragmentation factor subunit beta,172,180,270,208,271,221,165,155,155,151,140,62
ENSG00000198912.11,C1orf174,C1orf174,339448,chromosome 1 open reading frame 174,826,812,1173,848,1159,988,771,779,788,684,919,612
ENSG00000236423.6,LINC01134,LINC01134,100133612,long intergenic non-protein coding RNA 1134,3,3,6,5,4,3,2,6,4,6,5,4
ENSG00000131697.18,NPHP4,NPHP4,261734,nephrocystin 4,310,332,432,373,446,369,307,320,229,256,311,87
ENSG00000069424.15,KCNAB2,KCNAB2,8514,potassium voltage-gated channel subfamily A regulatory beta subunit 2,147,141,202,165,217,112,174,155,131,155,190,99
ENSG00000116254.18,CHD5,CHD5,26038,chromodomain helicase DNA binding protein 5,3,9,4,3,4,4,3,2,2,4,3,0
ENSG00000116251.11,RPL22,RPL22,6146,ribosomal protein L22,2317,2262,2751,2182,2971,2791,2262,2168,2501,1967,2614,2605
ENSG00000226944.1,RNF207-AS1,RNF207-AS1,102724450,RNF207 antisense RNA 1,0,3,4,3,1,1,1,1,4,2,0,0
ENSG00000158286.13,RNF207,RNF207,388591,ring finger protein 207,66,55,120,87,77,63,46,61,57,54,61,48
ENSG00000116237.16,ICMT,ICMT,23463,isoprenylcysteine carboxyl methyltransferase,6705,6848,9126,6714,9280,7529,6838,6696,6449,4925,6820,4171
ENSG00000225077.3,NA,ENSG00000225077.3,NA,NA,18,19,19,28,24,24,14,18,23,12,19,16
ENSG00000158292.7,GPR153,GPR153,387509,G protein-coupled receptor 153,170,174,217,187,240,137,99,137,87,90,134,48
ENSG00000097021.19,ACOT7,ACOT7,11332,acyl-CoA thioesterase 7,2929,3044,3942,3219,4659,2711,3341,3498,2624,3350,4186,1759
ENSG00000271746.1,NA,ENSG00000271746.1,NA,NA,3,3,4,4,6,0,0,8,4,3,5,9
ENSG00000069812.11,HES2,HES2,54626,hes family bHLH transcription factor 2,0,0,1,0,1,0,2,0,0,5,6,2
ENSG00000187017.17,ESPN,ESPN,83715,espin,0,0,2,1,2,1,0,0,2,1,2,3
ENSG00000215788.10,TNFRSF25,TNFRSF25,8718,TNF receptor superfamily member 25,25,13,47,44,40,54,39,22,40,44,28,20
ENSG00000171680.22,PLEKHG5,PLEKHG5,57449,pleckstrin homology and RhoGEF domain containing G5,153,135,245,171,221,151,174,177,112,172,203,75
ENSG00000162408.11,NOL9,NOL9,79707,nucleolar protein 9,1449,1459,2583,1639,2453,2775,1705,1886,2072,1651,1916,1397
ENSG00000204859.13,ZBTB48,ZBTB48,3104,zinc finger and BTB domain containing 48,274,283,387,294,441,276,328,303,285,256,308,135
ENSG00000162413.16,KLHL21,KLHL21,9903,kelch like family member 21,896,906,1109,1058,1502,997,1792,1884,1342,2065,2665,659
ENSG00000116273.6,PHF13,PHF13,148479,PHD finger protein 13,1824,1727,2411,1766,2473,2159,1944,1899,1708,1348,1802,664
ENSG00000041988.15,THAP3,THAP3,90326,THAP domain containing 3,440,458,605,497,623,393,419,458,349,448,532,227
ENSG00000007923.16,DNAJC11,DNAJC11,55735,DnaJ heat shock protein family (Hsp40) member C11,2701,2799,3719,2851,3615,3571,2890,2796,2675,2374,3206,2236
ENSG00000237436.1,NA,ENSG00000237436.1,NA,NA,6,13,14,8,7,7,6,4,9,6,13,10
ENSG00000171735.19,CAMTA1,CAMTA1,23261,calmodulin binding transcription activator 1,1620,1744,2300,1668,2112,1909,1730,1586,1778,1395,1770,1728
ENSG00000269978.1,NA,ENSG00000269978.1,NA,NA,0,0,2,2,1,2,1,2,3,0,0,0
ENSG00000049245.13,VAMP3,VAMP3,9341,vesicle associated membrane protein 3,7150,7224,9117,6823,9440,8345,7424,7305,8050,6634,8997,6161
ENSG00000269925.1,NA,ENSG00000269925.1,NA,NA,22,33,42,27,53,46,38,49,44,36,45,24
ENSG00000049246.14,PER3,PER3,8863,period circadian regulator 3,1621,1510,2174,1554,1925,1831,1317,1299,1390,1068,1448,1019
ENSG00000236266.1,NA,ENSG00000236266.1,NA,NA,7,7,12,10,16,15,7,12,12,11,11,8
ENSG00000049249.8,TNFRSF9,TNFRSF9,3604,TNF receptor superfamily member 9,20,31,49,25,38,38,35,60,33,13,34,14
ENSG00000116288.13,PARK7,PARK7,11315,Parkinsonism associated deglycase,10204,10815,14636,11055,14390,10025,10776,10902,11656,10217,11249,7676
ENSG00000284747.1,NA,ENSG00000284747.1,NA,NA,10,11,23,13,22,31,6,13,18,14,16,13
ENSG00000116285.13,ERRFI1,ERRFI1,54206,ERBB receptor feedback inhibitor 1,2485,2446,3401,2888,3424,3666,3700,2880,3135,2313,3204,2438
ENSG00000238290.1,NA,ENSG00000238290.1,NA,NA,1,0,2,0,2,2,1,0,1,0,0,1
ENSG00000227634.3,LINC01714,LINC01714,102724539,long intergenic non-protein coding RNA 1714,1,1,3,0,1,0,1,0,1,0,2,0
ENSG00000162426.14,SLC45A1,SLC45A1,50651,solute carrier family 45 member 1,49,38,76,49,86,31,40,34,36,22,33,8
ENSG00000142599.19,RERE,RERE,473,arginine-glutamic acid dipeptide repeats,2855,2750,3834,2958,3732,4110,3091,3253,2868,2924,4002,2527
ENSG00000232912.6,NA,ENSG00000232912.6,NA,NA,1,0,1,0,2,1,0,2,0,0,2,1
ENSG00000074800.16,ENO1,ENO1,2023,enolase 1,105306,108102,134677,112565,148856,103642,108567,109043,101366,94668,122479,68722
ENSG00000230679.1,ENO1-AS1,ENO1-AS1,100505975,ENO1 antisense RNA 1,4,3,2,3,6,1,4,0,0,2,6,1
ENSG00000238249.2,NA,ENSG00000238249.2,NA,NA,7,15,8,8,9,9,8,4,8,14,6,5
ENSG00000180758.12,GPR157,GPR157,80045,G protein-coupled receptor 157,257,221,383,204,359,297,208,235,204,109,208,86
ENSG00000228526.7,MIR34AHG,MIR34AHG,106614088,MIR34A host gene,4,5,10,7,10,7,7,13,17,59,39,49
ENSG00000234546.4,LNCTAM34A,LNCTAM34A,102724571,long non coding transcriptional activator of miR34a,3,3,3,1,7,11,10,13,7,22,23,16
ENSG00000049239.12,H6PD,H6PD,9563,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,815,799,1053,837,1092,1007,729,804,659,554,679,254
ENSG00000171621.14,SPSB1,SPSB1,80176,splA/ryanodine receptor domain and SOCS box containing 1,643,711,921,711,924,788,815,827,707,802,1106,520
ENSG00000284652.1,NA,ENSG00000284652.1,NA,NA,0,2,2,3,3,2,0,1,1,2,2,0
ENSG00000284693.1,LINC02606,LINC02606,100506022,long intergenic non-protein coding RNA 2606,16,22,19,19,20,37,20,22,20,16,23,10
ENSG00000171612.7,SLC25A33,SLC25A33,84275,solute carrier family 25 member 33,623,678,828,643,922,726,759,759,816,640,776,554
ENSG00000231181.1,RPL9P11,RPL9P11,642740,ribosomal protein L9 pseudogene 11,2,3,9,4,3,9,4,9,4,2,7,7
ENSG00000188807.13,TMEM201,TMEM201,199953,transmembrane protein 201,1141,1129,1443,1258,1661,1147,1403,1426,956,1147,1627,487
ENSG00000171608.16,PIK3CD,PIK3CD,5293,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1684,1701,2046,1937,2498,2175,2207,2402,1734,1992,2635,826
ENSG00000231789.2,PIK3CD-AS2,PIK3CD-AS2,101929074,PIK3CD antisense RNA 2,6,18,16,7,22,13,6,8,9,6,14,9
ENSG00000171603.18,CLSTN1,CLSTN1,22883,calsyntenin 1,6964,7116,9368,7206,9588,8211,6907,7350,5978,5843,8142,3304
ENSG00000178585.15,CTNNBIP1,CTNNBIP1,56998,catenin beta interacting protein 1,181,176,205,182,287,190,187,208,180,165,218,84
ENSG00000162441.12,LZIC,LZIC,84328,leucine zipper and CTNNBIP1 domain containing,1924,1928,2671,2121,2883,2484,2405,2338,2710,2291,3099,2472
ENSG00000228150.1,NA,ENSG00000228150.1,NA,NA,0,1,2,1,1,0,3,3,0,0,1,2
ENSG00000173614.14,NMNAT1,NMNAT1,64802,nicotinamide nucleotide adenylyltransferase 1,511,446,644,455,666,603,527,573,597,503,602,448
ENSG00000202415.1,NA,ENSG00000202415.1,NA,NA,2,3,2,3,3,2,3,1,3,1,2,3
ENSG00000162444.12,RBP7,RBP7,116362,retinol binding protein 7,100,114,117,120,173,107,127,127,107,132,119,131
ENSG00000130939.20,UBE4B,UBE4B,10277,ubiquitination factor E4B,2492,2559,3598,2740,3349,3800,2697,2775,2653,2297,3345,2384
ENSG00000054523.17,KIF1B,KIF1B,23095,kinesin family member 1B,5845,5945,7759,6217,8828,10108,7128,6775,7839,5717,8385,5267
ENSG00000199562.1,RNU6-37P,RNU6-37P,106478920,"RNA, U6 small nuclear 37, pseudogene",4,6,8,6,7,11,2,3,13,12,8,18
ENSG00000284642.1,NA,ENSG00000284642.1,NA,NA,11,11,11,11,5,13,6,13,10,13,11,10
ENSG00000142657.21,PGD,PGD,5226,phosphogluconate dehydrogenase,6332,6532,8516,6474,8493,7718,6884,6927,6597,5068,7003,4772
ENSG00000271989.1,NA,ENSG00000271989.1,NA,NA,5,3,4,2,8,2,2,1,1,0,2,1
ENSG00000175279.22,CENPS,CENPS,378708,centromere protein S,89,80,103,62,103,70,64,77,68,66,78,71
ENSG00000160049.12,DFFA,DFFA,1676,DNA fragmentation factor subunit alpha,3788,3749,5452,3823,5433,4833,4241,4414,4414,4031,5279,3913
ENSG00000203469.2,NA,ENSG00000203469.2,NA,NA,1,0,1,2,4,0,2,1,3,2,4,1
ENSG00000142655.13,PEX14,PEX14,5195,peroxisomal biogenesis factor 14,731,760,1027,770,1057,644,739,804,619,699,917,417
ENSG00000130940.15,CASZ1,CASZ1,54897,castor zinc finger 1,533,554,716,529,734,609,494,555,348,401,516,249
ENSG00000272078.1,NA,ENSG00000272078.1,NA,NA,4,0,3,3,1,0,4,2,1,4,2,2
ENSG00000120948.17,TARDBP,TARDBP,23435,TAR DNA binding protein,4649,4316,6672,4571,5891,5798,4665,4679,4975,4424,5842,4799
ENSG00000271895.2,NA,ENSG00000271895.2,NA,NA,6,5,10,4,5,7,8,10,9,9,6,1
ENSG00000116649.10,SRM,SRM,6723,spermidine synthase,3322,3347,3877,3292,4574,3457,3637,4116,2902,3995,5157,2327
ENSG00000171824.14,EXOSC10,EXOSC10,5394,exosome component 10,4906,4912,7129,4990,6585,5814,4897,4657,4879,4197,5536,5508
ENSG00000226849.1,NA,ENSG00000226849.1,NA,NA,23,27,28,28,20,12,30,13,17,20,20,42
ENSG00000230337.1,EXOSC10-AS1,EXOSC10-AS1,105376736,EXOSC10 antisense RNA 1,9,8,14,14,21,4,6,5,7,5,13,2
ENSG00000198793.13,MTOR,MTOR,2475,mechanistic target of rapamycin kinase,4338,4402,5708,4556,6237,6295,4860,4973,4416,4069,5892,2920
ENSG00000238173.1,NA,ENSG00000238173.1,NA,NA,1,0,2,1,1,1,0,1,1,1,1,3
ENSG00000120942.13,UBIAD1,UBIAD1,29914,UbiA prenyltransferase domain containing 1,1414,1337,1851,1450,2106,1639,1720,1730,1601,1375,2025,888
ENSG00000204624.8,DISP3,DISP3,57540,dispatched RND transporter family member 3,5,4,1,4,5,5,1,3,4,2,2,0
ENSG00000116661.11,FBXO2,FBXO2,26232,F-box protein 2,11,14,21,13,15,7,14,8,12,16,18,21
ENSG00000132879.14,FBXO44,FBXO44,93611,F-box protein 44,167,134,199,173,209,151,159,167,132,186,254,104
ENSG00000116663.11,FBXO6,FBXO6,26270,F-box protein 6,28,26,35,31,52,20,37,28,43,29,39,14
ENSG00000116670.15,MAD2L2,MAD2L2,10459,mitotic arrest deficient 2 like 2,1351,1536,2092,1613,2239,1331,1415,1552,1231,1531,1713,695
ENSG00000162490.7,DRAXIN,DRAXIN,374946,dorsal inhibitory axon guidance protein,3,5,6,6,4,6,2,7,8,8,15,4
ENSG00000177674.16,AGTRAP,AGTRAP,57085,angiotensin II receptor associated protein,486,540,604,492,665,408,552,618,425,586,702,150
ENSG00000177000.13,MTHFR,MTHFR,4524,methylenetetrahydrofolate reductase,357,334,480,366,534,425,278,310,259,282,394,143
ENSG00000011021.23,CLCN6,CLCN6,1185,chloride voltage-gated channel 6,582,598,936,620,839,756,733,667,627,677,878,473
ENSG00000120937.9,NPPB,NPPB,4879,natriuretic peptide B,40,53,54,57,38,32,28,12,33,24,34,26
ENSG00000285646.2,NA,ENSG00000285646.2,NA,NA,4,5,6,5,8,4,4,4,3,6,13,18
ENSG00000116685.16,KIAA2013,KIAA2013,90231,KIAA2013,2142,2268,2868,2484,3194,1873,2142,2109,1886,1889,2265,1043
